LA Number,Establishment Number,URN,School Phase,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Headcount)",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Full-Time Equivalent)",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers (£s)
359,7023,135199,Not applicable,14,16,11,13.3,13.6,10.1,6.4,"£49,055"
354,7013,135200,Not applicable,17,48,2,15.5,38.7,1.8,7.7,"£41,310"
354,7014,135201,Not applicable,17,44,2,17.0,37.6,1.4,7.1,"£41,101"
354,7015,135202,Not applicable,42,110,10,41.3,94.2,9.3,8,"£40,572"
801,3438,135203,Primary,35,34,5,31.0,20.7,3.3,20,"£40,796"
860,3499,135204,Primary,19,23,5,17.7,14.5,3.0,21.8,"£39,435"
866,3465,135206,Primary,22,21,4,17.9,11.1,2.7,21,"£41,130"
840,3525,135207,Primary,15,10,4,14.2,10.0,3.5,20.6,"£40,483"
812,6906,135209,Secondary,57,25,31,54.5,21.6,23.9,16.6,"£43,821"
383,3931,135210,Primary,34,43,10,30.4,27.7,7.6,21.4,"£38,630"
310,3514,135211,Primary,28,26,9,25.4,20.2,6.0,18.6,"£44,327"
886,3917,135212,Primary,38,69,18,36.8,51.9,12.6,21.4,"£40,504"
869,3361,135213,Primary,22,29,7,18.1,22.1,5.6,21.7,"£36,994"
886,3918,135214,Primary,42,36,12,41.6,28.0,9.7,16.9,"£36,261"
333,3408,135215,Primary,29,34,7,28.2,24.5,6.5,22.5,"£36,219"
